FID,COD_NOMBRE,COD_NOM_01,NOM_CALLE_,NOM_CAL_01,GID,COD_DEPTO,x,y
33101,2325,4122,DARWIN,DR MAGESTED,46406777,1,-56.1843139798468,-34.8649735489085
33102,2127,2973,COPERNICO,GENOVA,46406778,1,-56.1190350439941,-34.8320977358893
33103,2127,4677,COPERNICO,NAPOLES,46406779,1,-56.1178235887994,-34.831373285566
33104,1338,8042,CALLE N123,SDA VEHICULAR 1,46406780,1,-56.1149305502374,-34.8803315943852
33105,1338,7901,CALLE N123,CALLE 5,46406781,1,-56.1153001028964,-34.8790602698317
33106,5940,5883,RESTAURACION,ALFEREZ REAL,46406782,1,-56.1300862407909,-34.8632831203024
33107,5940,7308,RESTAURACION,CAP VILLADEMOROS,46406783,1,-56.1312504322804,-34.8644206436712
33108,1959,5358,CHUY,GRAL ENRIQUE PEREDA,46406784,1,-56.1896272773986,-34.864318602427
33109,7056,3792,URUGUAYANA,LARROBLA,46406785,1,-56.2059246362775,-34.8726572395049
33110,6315,3240,AV GRAL SAN MARTIN,GUENOAS,46406786,1,-56.1707967475427,-34.8507846403896
33111,5700,7056,PROGRESO,URUGUAYANA,46406787,1,-56.2018882852251,-34.8748283503726
33112,5700,7056,PROGRESO,URUGUAYANA,46406788,1,-56.2019244263077,-34.8748633393343
33113,7257,4767,MATEO VIDAL,IGNACIO NUÃ‘EZ,46406789,1,-56.1473212900033,-34.8816162939121
33114,1179,4122,AV BURGUES,DR MAGESTED,46406790,1,-56.1867909353464,-34.8643716862957
33115,1179,1665,AV BURGUES,CARMELO,46406791,1,-56.1867909353464,-34.8643716862957
33116,327,6858,AV RAMON ANADOR,THIEBAUT,46406792,1,-56.1325838203283,-34.8934866712429
33117,327,150,AV RAMON ANADOR,ANDRES AGUIAR,46406793,1,-56.1313354104251,-34.8933056706801
33118,3015,4125,AV TOMAS GIRIBALDI,ING CARLOS MARIA MAGGIOLO,46406794,1,-56.1640882527868,-34.9141134430126
33119,705,333,AZAMBUYA,CARLOS ANAYA,46406795,1,-56.1596077670828,-34.8837303848552
33120,705,5819,AZAMBUYA,ESPACIO QUINTA DE LA PARAGUAYA,46406796,1,-56.1596077670828,-34.8837303848552
33121,4263,7305,DR MARTIN C MARTINEZ,VILARDEBO,46406797,1,-56.1746986905264,-34.8795499986631
33122,6729,8011,AV LA TABLADA,CNO VECINAL,46406798,1,-56.2561894434353,-34.8071094110987
33123,6729,61,AV LA TABLADA,CNO VECINAL,46406799,1,-56.2561894434352,-34.8071094110987
33124,6729,7133,AV LA TABLADA,CALLE 10 MTS,46406800,1,-56.2555826449266,-34.8087135312005
33125,3516,960,IRIGOITIA,ADOLFO BERRO,46406801,1,-56.207377456783,-34.8641182159421
33126,1098,7656,CDTE BRAGA,AV 8 DE OCTUBRE,46406802,1,-56.1582736381092,-34.8872247734758
33127,1098,3468,CDTE BRAGA,JOAQUIN SECCO ILLA,46406803,1,-56.1582736381092,-34.8872247734759
33128,177,7083,AIGUA,VALDENSE,46406804,1,-56.1971946029723,-34.8644456259588
33129,177,4044,AIGUA,LUGANO,46406805,1,-56.198710639744,-34.8646079779536
33130,5091,576,PALOMAS,MANUEL ARROTEA,46406806,1,-56.1611932247033,-34.856146886396
33131,7602,1496,20 DE FEBRERO,CAMOATI,46406807,1,-56.1475892685708,-34.8647506029335
33132,4080,1002,MACHADO,AV DR JUAN CARLOS BLANCO,46406808,1,-56.1986096136983,-34.8662967446901
33133,4080,960,MACHADO,ADOLFO BERRO,46406809,1,-56.198494154362,-34.867204611149
33134,4080,1983,MACHADO,CISPLATINA,46406810,1,-56.1986096136983,-34.8662967446901
33135,1002,4080,AV DR JUAN CARLOS BLANCO,MACHADO,46406811,1,-56.1986096136983,-34.8662967446901
33136,1002,6605,AV DR JUAN CARLOS BLANCO,CARLOS SOLE,46406812,1,-56.1993058385702,-34.8669633779186
33137,1002,1983,AV DR JUAN CARLOS BLANCO,CISPLATINA,46406813,1,-56.1986096136983,-34.8662967446901
33138,4956,2754,BV JOSE BATLLE Y ORDOÃ‘EZ,AV GRAL FLORES,46406814,1,-56.1693859868952,-34.8634853297941
33139,3135,396,ROQUE GRASERAS,FRANCISCO SOLANO ANTUÃ‘A,46409885,1,-56.1518962756718,-34.9187825108549
33140,1782,3120,CAYAMBE,GRANADEROS,46409886,1,-56.1702315169837,-34.84537993562
